country,year,sample,serial,hhwt,geo1_ca2011,pernum,perwt,age,sex,bplcountry,citizen,empstat,empstatd,labforce,occisco,occ,indgen,ind,incearn
124,2011,124201101,74829000,32.42,35,4,32.42,37,2,32040,3,2,200,2,3,35,112,14,0
124,2011,124201101,74837000,32.42,35,4,32.42,15,2,19999,4,3,300,1,3,35,114,18,2100
124,2011,124201101,74869000,46.67,35,1,46.67,45,2,24020,2,1,100,2,3,35,112,14,12900
124,2011,124201101,74901000,32.03,35,2,32.03,73,2,24020,2,1,100,2,3,35,113,15,3900
124,2011,124201101,75109000,31.64,10,1,31.64,30,2,24020,2,2,200,2,3,35,113,15,9300
124,2011,124201101,75116000,32.03,35,2,32.03,48,2,21140,3,1,100,2,3,35,113,15,23000
124,2011,124201101,75160000,32.03,35,2,32.03,32,2,24020,2,1,100,2,3,35,112,14,40000
124,2011,124201101,75281000,32.02,48,2,32.02,37,2,24020,2,1,100,2,3,35,112,14,20000
124,2011,124201101,75375000,32.03,35,2,32.03,34,2,33080,4,1,100,2,3,35,114,18,26300
124,2011,124201101,75483000,32.04,12,1,32.04,30,2,24020,2,1,100,2,3,35,112,14,41400
124,2011,124201101,75487000,32.02,48,2,32.02,40,2,24020,2,1,100,2,3,35,112,14,30100
124,2011,124201101,75538000,32.03,35,3,32.03,32,2,24020,2,1,100,2,3,35,112,14,4100
124,2011,124201101,75665000,32.03,35,2,32.03,52,2,24020,2,1,100,2,3,35,114,18,0
124,2011,124201101,75694000,31.96,24,2,31.96,64,2,24020,2,1,100,2,3,35,112,14,3300
124,2011,124201101,75841000,32.42,35,10,32.42,29,2,32040,4,1,100,2,3,35,114,18,17200
124,2011,124201101,75869000,32.02,48,2,32.02,45,2,32040,4,1,100,2,3,35,112,14,0
124,2011,124201101,75903000,32.42,35,1,32.42,38,2,42120,3,1,100,2,3,35,112,14,5900
124,2011,124201101,75915000,31.69,13,3,31.69,15,2,24020,2,3,300,1,3,35,114,16,2800
124,2011,124201101,75955000,32.02,48,2,32.02,57,2,24020,2,1,100,2,3,35,112,14,4300
124,2011,124201101,75985000,42.46,24,2,42.46,67,2,24020,2,1,100,2,3,35,114,18,49600
124,2011,124201101,76023000,32.03,35,2,32.03,26,2,24020,2,1,100,2,3,35,113,15,3600
124,2011,124201101,76142000,32.1,59,3,32.1,17,2,24020,2,3,300,1,3,35,114,18,400
124,2011,124201101,76180000,32.03,35,2,32.03,37,2,24020,2,1,100,2,3,35,112,14,5700
124,2011,124201101,76182000,32.03,35,1,32.03,44,2,24020,2,1,100,2,3,35,112,14,0
124,2011,124201101,76193000,31.72,48,2,31.72,32,2,24020,2,3,300,1,3,35,112,14,43300
124,2011,124201101,76296000,32.03,35,5,32.03,42,2,33080,4,1,100,2,3,35,114,18,4500
124,2011,124201101,76316000,32.03,35,1,32.03,43,2,33080,4,1,100,2,3,35,114,18,0
124,2011,124201101,76335000,32.03,35,1,32.03,55,2,24020,2,1,100,2,3,35,112,14,35100
124,2011,124201101,76377000,32.02,48,1,32.02,53,2,24020,2,1,100,2,3,35,112,14,5100
124,2011,124201101,76461000,31.89,47,2,31.89,39,2,24020,2,1,100,2,3,35,112,14,13800
124,2011,124201101,76465000,32.03,35,4,32.03,15,2,24020,2,3,300,1,3,35,114,18,2000
124,2011,124201101,76522000,35.67,59,1,35.67,65,2,24020,2,1,100,2,3,35,113,15,39500
124,2011,124201101,76636000,32.42,35,6,32.42,33,2,33080,4,1,100,2,3,35,114,18,26800
124,2011,124201101,76660000,32.03,35,2,32.03,48,2,24020,2,1,100,2,3,35,112,14,34100
124,2011,124201101,76677000,31.69,13,2,31.69,53,2,24020,2,1,100,2,3,35,112,14,20700
124,2011,124201101,76766000,32.42,35,6,32.42,35,2,24020,2,1,100,2,3,35,112,14,0
